               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13084,            0.022128,            0.030035,          0.00016076,             0.04717,          0.00011221,          1.8137e-05,             0.12984,            0.017816,            0.029277,              0.0964,              0.0004,              0.0004
                   1,             0.11298,            0.023427,            0.030046,           0.0024648,             0.72642,            0.010839,           0.0023952,            0.089511,            0.018627,            0.029277,            0.091896,          0.00089554,          0.00089554
                   2,            0.092227,            0.025763,            0.028785,           0.0029188,             0.85849,            0.031442,           0.0091271,            0.074646,            0.017934,             0.02748,            0.087386,           0.0013861,           0.0013861
                   3,            0.080294,            0.024141,            0.027267,             0.04324,             0.81132,             0.15183,            0.042543,            0.069303,            0.016397,            0.027201,            0.082872,           0.0018718,           0.0018718
                   4,            0.073618,            0.025229,            0.026403,             0.34954,             0.25538,             0.22125,            0.072449,            0.059182,            0.015927,            0.026978,            0.078352,           0.0023525,           0.0023525
                   5,            0.064231,            0.023403,             0.02708,             0.23731,             0.37736,             0.22471,            0.063076,            0.054891,            0.014623,            0.026284,            0.073828,           0.0028282,           0.0028282
                   6,            0.063842,            0.022415,            0.026528,            0.085569,             0.16981,            0.083698,            0.021102,            0.056404,             0.01364,            0.026013,            0.069299,            0.003299,            0.003299
                   7,            0.060497,             0.02396,            0.026161,             0.29327,             0.42453,             0.24117,            0.067919,            0.062916,            0.012264,            0.025721,            0.064765,           0.0037649,           0.0037649
                   8,            0.058441,            0.020133,            0.026522,             0.28392,             0.39623,             0.22597,            0.072945,            0.057916,            0.012058,            0.025541,            0.060226,           0.0042258,           0.0042258
                   9,            0.059413,            0.020832,             0.02629,            0.057836,             0.26415,            0.070341,            0.027641,            0.061775,            0.011043,            0.025616,            0.055682,           0.0046817,           0.0046817
                  10,            0.061772,            0.017092,            0.025847,             0.32968,                 0.5,             0.30465,            0.095403,            0.059587,            0.010528,            0.025844,            0.051133,           0.0051327,           0.0051327
                  11,            0.060773,            0.019311,            0.026214,             0.38794,              0.5566,             0.39489,              0.1619,            0.057565,            0.010164,            0.025694,            0.046579,           0.0055787,           0.0055787
                  12,            0.056734,            0.019485,            0.025815,             0.41218,             0.50943,             0.43061,             0.12651,            0.060283,            0.009603,            0.025604,             0.04202,           0.0060198,           0.0060198
                  13,            0.056522,            0.018462,            0.026003,             0.43245,             0.41509,              0.4085,             0.15301,            0.055033,           0.0097704,            0.025867,            0.037456,            0.006456,            0.006456
                  14,            0.054675,            0.018591,             0.02569,             0.31626,              0.5566,             0.38559,             0.16664,            0.047172,           0.0093919,             0.02581,            0.032887,           0.0068872,           0.0068872
                  15,            0.051079,            0.016814,            0.026041,             0.31174,             0.53774,             0.37513,             0.18652,            0.045917,           0.0092268,            0.026093,            0.028313,           0.0073134,           0.0073134
                  16,            0.049657,            0.017668,            0.026046,              0.4507,             0.57611,             0.48022,             0.22282,            0.050189,           0.0083033,            0.026099,            0.023735,           0.0077347,           0.0077347
                  17,            0.053623,            0.016727,            0.026073,             0.31228,             0.61321,             0.38467,             0.18523,            0.049567,           0.0080352,             0.02607,            0.019151,           0.0081511,           0.0081511
                  18,            0.052166,            0.017653,            0.025611,             0.41856,             0.57547,             0.41866,             0.16653,            0.056253,           0.0076577,            0.026068,            0.014562,           0.0085625,           0.0085625
                  19,            0.050059,            0.015895,            0.025573,             0.33874,             0.51456,             0.35595,             0.13887,            0.053585,           0.0076855,            0.025877,           0.0099689,           0.0089689,           0.0089689
                  20,            0.050273,            0.014946,            0.025366,             0.21358,             0.62264,             0.29843,             0.13415,            0.052174,           0.0073358,            0.025576,             0.00901,             0.00901,             0.00901
                  21,            0.049402,            0.013576,            0.024903,             0.36704,             0.59434,             0.41941,             0.19993,            0.051854,           0.0069863,             0.02573,             0.00901,             0.00901,             0.00901
                  22,            0.044457,            0.015724,            0.025509,             0.40694,             0.64151,             0.45146,             0.17819,            0.059856,           0.0064109,              0.0257,           0.0089605,           0.0089605,           0.0089605
                  23,            0.048028,             0.01366,            0.025494,              0.4995,             0.70999,             0.55828,             0.29224,            0.034859,           0.0070567,            0.025621,            0.008911,            0.008911,            0.008911
                  24,            0.043062,            0.014756,            0.024788,             0.33781,             0.56098,              0.3487,             0.16087,            0.050598,           0.0064902,            0.025368,           0.0088615,           0.0088615,           0.0088615
                  25,            0.044563,            0.013549,            0.025561,             0.44482,             0.71556,             0.55984,              0.2865,            0.045628,           0.0061474,            0.025315,            0.008812,            0.008812,            0.008812
                  26,            0.044775,            0.012085,            0.026022,             0.31868,             0.74528,             0.47335,              0.2603,            0.036304,           0.0063694,            0.025183,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039325,            0.011516,             0.02554,             0.39256,             0.65531,             0.53159,             0.24896,             0.04112,             0.00595,            0.025234,            0.008713,            0.008713,            0.008713
                  28,            0.038297,            0.010879,             0.02541,             0.42996,             0.70886,             0.54719,             0.28314,            0.042586,           0.0056071,            0.025106,           0.0086635,           0.0086635,           0.0086635
                  29,            0.041286,            0.010546,            0.024685,             0.39285,             0.79245,             0.53513,             0.26035,            0.039224,           0.0054607,            0.024996,            0.008614,            0.008614,            0.008614
                  30,            0.041512,            0.011415,            0.024993,              0.4937,             0.91509,             0.64383,             0.36362,            0.034585,           0.0054685,            0.024782,           0.0085645,           0.0085645,           0.0085645
                  31,            0.038276,           0.0096672,            0.024439,             0.49537,             0.91968,              0.6696,             0.28773,            0.041695,           0.0052092,            0.024587,            0.008515,            0.008515,            0.008515
                  32,            0.041913,            0.010748,            0.025097,             0.49473,             0.88679,              0.6785,             0.33799,            0.035613,           0.0051324,            0.024382,           0.0084655,           0.0084655,           0.0084655
                  33,            0.039226,            0.010369,             0.02451,             0.44814,             0.86184,             0.62698,             0.32372,            0.038403,           0.0049353,            0.024095,            0.008416,            0.008416,            0.008416
                  34,            0.036783,           0.0090464,            0.023606,             0.48938,             0.89623,             0.68054,             0.42659,            0.035091,           0.0049285,            0.023487,           0.0083665,           0.0083665,           0.0083665
                  35,            0.036178,            0.010648,            0.022945,             0.50121,             0.89623,              0.6894,             0.45237,            0.030176,            0.004929,            0.022731,            0.008317,            0.008317,            0.008317
                  36,            0.035623,            0.010535,             0.02339,             0.46722,             0.87736,             0.71556,             0.38573,            0.034273,            0.004926,            0.022059,           0.0082675,           0.0082675,           0.0082675
                  37,            0.034026,           0.0085635,            0.022868,             0.51139,             0.88679,             0.73462,             0.39131,            0.041794,           0.0045508,            0.020755,            0.008218,            0.008218,            0.008218
                  38,            0.040752,           0.0086372,            0.021658,              0.4561,             0.91116,             0.75665,             0.47004,            0.031321,           0.0046438,            0.019318,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033856,           0.0088468,            0.020566,              0.4654,             0.89623,             0.75119,             0.42217,            0.034401,           0.0046123,            0.018434,            0.008119,            0.008119,            0.008119
                  40,            0.030787,           0.0094208,            0.019664,             0.71003,             0.59715,             0.75043,             0.42953,            0.037477,           0.0045923,            0.017481,           0.0080695,           0.0080695,           0.0080695
                  41,            0.038355,           0.0074885,            0.018846,             0.70572,             0.60111,             0.73233,             0.48005,            0.034555,           0.0044985,             0.01591,             0.00802,             0.00802,             0.00802
                  42,            0.034868,           0.0077922,             0.01818,             0.88731,             0.58305,             0.81543,             0.51891,            0.031426,           0.0045254,            0.014749,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032924,           0.0072247,             0.01737,              0.7847,             0.57655,             0.75215,             0.42709,             0.04348,           0.0044516,            0.013474,            0.007921,            0.007921,            0.007921
                  44,            0.037591,           0.0082603,            0.017248,             0.59027,             0.84058,             0.77414,             0.49572,            0.029265,           0.0045133,            0.012769,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032528,           0.0073011,             0.01589,             0.66931,             0.80633,             0.84776,             0.50657,            0.035318,           0.0043501,            0.011835,            0.007822,            0.007822,            0.007822
                  46,            0.032359,           0.0072833,            0.015163,             0.74783,             0.78459,             0.87273,              0.4137,            0.036417,           0.0043464,            0.010927,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034943,           0.0084566,             0.01459,             0.87477,             0.85651,              0.9336,              0.5456,            0.030008,           0.0043026,           0.0099106,            0.007723,            0.007723,            0.007723
                  48,             0.03583,           0.0067678,            0.012737,             0.80477,             0.84849,             0.89173,             0.53496,            0.033172,           0.0041768,           0.0090871,           0.0076735,           0.0076735,           0.0076735
                  49,            0.033302,           0.0065302,            0.011597,             0.87373,             0.84653,             0.92579,             0.52409,            0.036632,            0.004142,           0.0077738,            0.007624,            0.007624,            0.007624
                  50,            0.036264,           0.0067679,            0.011459,             0.96302,             0.94765,             0.95653,             0.53619,            0.033903,           0.0038658,           0.0068041,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033077,           0.0068188,            0.010056,             0.68987,             0.86217,             0.82835,             0.47724,            0.032834,           0.0040646,           0.0064304,            0.007525,            0.007525,            0.007525
                  52,            0.033637,           0.0058831,            0.010212,             0.89711,             0.80189,              0.9071,             0.44167,            0.034534,           0.0038991,           0.0055723,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031879,           0.0074296,           0.0090599,             0.79323,              0.8776,             0.90761,              0.5482,            0.031922,           0.0038323,           0.0044852,            0.007426,            0.007426,            0.007426
                  54,            0.035397,           0.0064947,           0.0077724,             0.87277,             0.95921,             0.96867,             0.61932,             0.03043,           0.0036891,           0.0042779,           0.0073765,           0.0073765,           0.0073765
                  55,            0.032143,           0.0064488,           0.0071319,             0.97798,             0.94127,             0.98523,             0.65543,            0.031638,           0.0036586,           0.0040159,            0.007327,            0.007327,            0.007327
                  56,            0.033146,           0.0073824,           0.0071239,             0.91746,              0.8693,             0.95265,              0.6325,            0.031481,           0.0036143,           0.0045151,           0.0072775,           0.0072775,           0.0072775
                  57,            0.034215,           0.0062895,            0.007189,             0.95825,             0.92453,             0.96383,             0.63241,            0.029589,           0.0035001,           0.0037792,            0.007228,            0.007228,            0.007228
                  58,            0.028596,           0.0060951,           0.0058869,             0.93535,               0.929,             0.95916,             0.45895,            0.036707,             0.00376,           0.0033389,           0.0071785,           0.0071785,           0.0071785
                  59,            0.032332,           0.0061935,           0.0080131,             0.98896,             0.95283,             0.98836,             0.57677,            0.032559,           0.0034537,           0.0032281,            0.007129,            0.007129,            0.007129
                  60,            0.032879,           0.0059499,           0.0057522,             0.93434,             0.95547,             0.98633,             0.66024,            0.030318,           0.0034599,           0.0032762,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029284,           0.0063228,           0.0060674,             0.93723,             0.95228,             0.98226,             0.71033,            0.030501,           0.0034132,           0.0030889,             0.00703,             0.00703,             0.00703
                  62,            0.033031,           0.0060873,           0.0051043,             0.90425,             0.92392,             0.96756,              0.6676,            0.027245,           0.0034242,           0.0030251,           0.0069805,           0.0069805,           0.0069805
                  63,            0.035035,           0.0066284,           0.0059864,             0.92084,             0.99057,             0.98324,              0.5738,            0.031602,           0.0034322,           0.0028323,            0.006931,            0.006931,            0.006931
                  64,            0.030198,           0.0059199,           0.0053341,             0.95974,             0.95283,             0.97809,             0.60079,            0.029492,           0.0034438,           0.0027765,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029525,           0.0059061,           0.0048561,             0.98439,             0.98113,             0.98949,             0.66272,            0.030703,           0.0033472,            0.002702,            0.006832,            0.006832,            0.006832
                  66,             0.03066,           0.0056143,           0.0039569,             0.92774,             0.96887,             0.96842,             0.70658,            0.023237,           0.0033748,           0.0027036,           0.0067825,           0.0067825,           0.0067825
                  67,            0.027087,            0.005864,           0.0039532,             0.91679,             0.98014,             0.97497,             0.64557,            0.031199,           0.0034386,           0.0024251,            0.006733,            0.006733,            0.006733
                  68,            0.031089,           0.0055336,           0.0037116,             0.99673,             0.98113,              0.9854,             0.67741,            0.023411,           0.0033282,           0.0023351,           0.0066835,           0.0066835,           0.0066835
                  69,            0.030452,           0.0061128,           0.0039432,             0.99483,             0.98113,             0.98551,             0.65456,            0.029384,            0.003398,           0.0021784,            0.006634,            0.006634,            0.006634
                  70,            0.027848,           0.0059977,           0.0040757,             0.88185,             0.95214,             0.96407,             0.67959,            0.031149,           0.0033746,           0.0020967,           0.0065845,           0.0065845,           0.0065845
                  71,            0.029412,           0.0063645,           0.0036847,             0.99415,             0.98113,             0.98088,             0.67422,            0.025282,            0.003389,           0.0023549,            0.006535,            0.006535,            0.006535
                  72,            0.028576,           0.0057265,           0.0030253,             0.97116,             0.95892,             0.98732,               0.716,            0.024477,           0.0032866,           0.0023534,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026271,           0.0063807,           0.0043997,             0.96059,             0.98113,             0.98926,             0.73592,             0.02614,           0.0032741,            0.002238,            0.006436,            0.006436,            0.006436
                  74,            0.028698,           0.0057182,           0.0032333,             0.99218,             0.98113,             0.98129,             0.73924,            0.025971,           0.0032868,           0.0021351,           0.0063865,           0.0063865,           0.0063865
                  75,            0.027604,           0.0052876,           0.0030099,             0.96081,             0.97836,             0.98304,             0.67675,             0.02328,           0.0032907,           0.0022011,            0.006337,            0.006337,            0.006337
                  76,            0.026577,           0.0052056,           0.0032329,             0.97077,              0.9798,              0.9811,             0.75316,            0.023268,           0.0031643,           0.0023018,           0.0062875,           0.0062875,           0.0062875
                  77,            0.027346,           0.0054247,           0.0033188,             0.99708,             0.98113,             0.98907,             0.63485,            0.024457,           0.0032065,            0.002367,            0.006238,            0.006238,            0.006238
                  78,            0.027631,           0.0053544,           0.0039493,             0.99794,             0.98113,             0.98066,             0.75417,            0.021654,           0.0030998,           0.0022261,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024039,           0.0050718,           0.0031404,             0.96465,             0.98113,             0.98049,             0.67009,            0.024872,           0.0031288,           0.0019788,            0.006139,            0.006139,            0.006139
                  80,            0.028735,           0.0057906,           0.0030801,             0.94537,             0.98113,             0.98781,             0.70149,            0.025503,           0.0030549,           0.0018188,           0.0060895,           0.0060895,           0.0060895
                  81,            0.028292,           0.0054816,           0.0027585,             0.99693,             0.98113,             0.98033,              0.7153,            0.023174,           0.0030635,           0.0018533,             0.00604,             0.00604,             0.00604
